日期,編號,項目,狀態,負責人,備註,單位,客戶,耗時分鐘,金額
0611,L265971,B 類,已結案,OP-114,,研發,捷欣,240,16.76
6月12日,L269615,A 類,不合格,OP-134,,資材,永利,39,35.75
0617,L262122,A 類,已結案,OP-137,,研發,永利,68,1.97
0723,L266477,B 類,,OP-118,,營運,順發,233,22.36
7月15日,L267860,C 類,合格,OP-111,,營運,東昇,38,7.88
2026/6/12,L263274,B 類,已結案,OP-143,待確認,資材,順發,63,52.67
2026/7/26,L266997,其他,已結案,OP-109,,品保,東昇,130,69.98
2026/7/30,L266629,B 類,,OP-125,,資材,東昇,107,2.2
7月14日,L267966,C 類,合格,OP-108,待確認,營運,順發,50,49.42
7月3日,L260048,其他,已結案,OP-111,已回報,品保,捷欣,36,71.51
6月9日,L264558,其他,不合格,OP-107,待確認,研發,永利,165,61.5
2026/6/12,L262958,A 類,待處理,OP-101,待確認,資材,捷欣,126,46.22
0716,L268542,其他,合格,OP-145,,營運,東昇,206,19.15
2026/7/8,L267084,A 類,待處理,OP-133,,資材,捷欣,225,71.13
2026/6/12,L268044,A 類,已結案,OP-127,待確認,製造,捷欣,57,76.79
0724,L267963,B 類,已結案,OP-103,待確認,研發,捷欣,206,76.55
7月28日,L266723,A 類,已結案,OP-142,,製造,力鋼,152,74.51
6月29日,L261393,A 類,待處理,OP-110,,品保,永利,221,34.22
2026/7/20,L262567,C 類,待處理,OP-133,,製造,東昇,50,13.37
2026/6/4,L266351,C 類,,OP-127,,研發,東昇,22,37.74
0716,L262968,其他,不合格,OP-118,,營運,順發,175,95.7
2026/7/5,L265615,A 類,合格,OP-121,,品保,大宏,98,76.94
2026/7/24,L263692,A 類,待處理,OP-119,,營運,東昇,192,60.37
2026/6/28,L267623,B 類,,OP-117,待確認,營運,力鋼,173,83.41
2026/7/7,L263317,A 類,合格,OP-136,,資材,永利,108,68.38
7月6日,L263222,其他,待處理,OP-113,,研發,力鋼,156,78.23
2026/7/8,L260544,其他,已結案,OP-104,待確認,製造,捷欣,47,91.57
0721,L263672,其他,不合格,OP-130,,資材,永利,133,32.56
6月19日,L260287,B 類,已結案,OP-139,待確認,品保,永利,239,28.86
2026/6/25,L269916,其他,合格,OP-136,,營運,大宏,120,41.08
7月18日,L269359,其他,已結案,OP-110,,營運,捷欣,68,83.9
0715,L266943,A 類,待處理,OP-120,,資材,順發,108,51.31
2026/6/21,L264958,其他,待處理,OP-139,,品保,順發,146,42.63
6月21日,L267971,B 類,,OP-115,待確認,資材,力鋼,225,45.23
2026/7/2,L269490,A 類,已結案,OP-116,已回報,品保,順發,181,7.68
6月13日,L264340,B 類,合格,OP-142,,製造,東昇,182,0.96
0719,L266959,C 類,,OP-115,已回報,研發,力鋼,44,14.54
0627,L264175,其他,,OP-127,待確認,營運,力鋼,42,68.65
0722,L267331,B 類,,OP-148,,營運,力鋼,231,72.45
6月28日,L262913,A 類,已結案,OP-104,,研發,東昇,48,22.55
2026/7/1,L263323,C 類,,OP-133,,研發,捷欣,1,67.25
7月14日,L260373,B 類,,OP-137,,研發,順發,162,23.02
0728,L265042,其他,,OP-119,,營運,大宏,126,79.4
2026/6/27,L260936,B 類,,OP-103,,資材,順發,185,17.82
0601,L260634,其他,合格,OP-148,待確認,製造,捷欣,26,72.49
7月21日,L260596,A 類,,OP-116,,品保,永利,213,23.95
2026/6/14,L267177,B 類,,OP-140,,營運,大宏,53,23.47
0610,L261622,其他,,OP-138,,資材,順發,15,48.7
2026/7/6,L263216,其他,待處理,OP-125,,營運,捷欣,198,45.03
2026/6/3,L260575,其他,不合格,OP-126,,製造,東昇,167,58.61
0617,L269768,C 類,待處理,OP-103,,品保,東昇,46,40.4
0602,L269839,B 類,待處理,OP-106,,製造,力鋼,163,74.02
6月25日,L268310,其他,合格,OP-110,,資材,順發,193,75.26
0605,L264596,其他,合格,OP-140,待確認,資材,大宏,54,85.1
7月5日,L268225,C 類,合格,OP-110,,製造,力鋼,194,4.71
6月6日,L261613,C 類,已結案,OP-130,,製造,力鋼,196,36.56
2026/6/25,L266484,B 類,已結案,OP-103,待確認,品保,永利,76,3.37
7月3日,L266758,A 類,,OP-101,,資材,力鋼,222,50.64
0611,L262023,C 類,不合格,OP-142,,品保,永利,15,77.67
2026/6/14,L264649,A 類,,OP-111,,品保,力鋼,45,22.74
6月24日,L261047,C 類,待處理,OP-113,,品保,力鋼,196,19.46
2026/7/20,L264866,C 類,不合格,OP-139,待確認,研發,捷欣,185,13.57
0712,L266812,A 類,待處理,OP-116,,研發,永利,216,34.73
0612,L261548,A 類,待處理,OP-115,已回報,研發,順發,140,54.54
6月30日,L260075,其他,已結案,OP-140,待確認,品保,永利,234,24.84
0721,L263398,其他,,OP-120,,製造,捷欣,105,74.35
6月28日,L263639,C 類,不合格,OP-123,待確認,品保,永利,59,74.96
0626,L263229,A 類,合格,OP-118,,製造,順發,95,1.8
0727,L265697,B 類,,OP-147,已回報,資材,大宏,103,34.16
6月6日,L262170,A 類,合格,OP-136,,品保,順發,107,22.84
7月1日,L265942,其他,,OP-119,已回報,製造,永利,24,84.36
0730,L262816,C 類,不合格,OP-117,已回報,製造,永利,195,41.9
6月5日,L265743,其他,已結案,OP-137,,製造,大宏,84,76.29
7月29日,L265531,其他,合格,OP-141,,製造,大宏,28,31.78
6月26日,L264833,C 類,已結案,OP-146,待確認,品保,永利,41,52.36
6月8日,L269829,其他,不合格,OP-109,,研發,順發,132,65.29
0611,L260623,其他,合格,OP-127,,品保,大宏,86,4.34
7月28日,L263735,B 類,合格,OP-137,,品保,永利,17,53.14
6月13日,L264140,B 類,待處理,OP-119,,製造,大宏,235,47.72
6月13日,L264544,B 類,,OP-145,,研發,東昇,165,32.49
6月1日,L261184,C 類,已結案,OP-129,待確認,製造,永利,93,28.96
6月22日,L266124,B 類,待處理,OP-133,,研發,東昇,20,69.38
0627,L260730,其他,待處理,OP-117,,研發,捷欣,67,88.24
0625,L262860,其他,待處理,OP-123,,資材,東昇,159,49.26
0725,L260652,其他,待處理,OP-122,,營運,東昇,11,95.64
2026/6/4,L261539,其他,待處理,OP-126,,品保,力鋼,41,15.03
6月21日,L261283,其他,,OP-106,待確認,資材,力鋼,170,94.16
2026/6/11,L265518,B 類,,OP-115,,營運,東昇,39,26.3
2026/6/18,L267821,C 類,待處理,OP-102,待確認,資材,永利,31,57.78
2026/7/12,L268237,B 類,待處理,OP-119,,製造,順發,4,93.4
6月1日,L264615,B 類,,OP-118,,營運,順發,2,16.87
0717,L269334,B 類,待處理,OP-105,,製造,力鋼,166,67.06
7月10日,L269149,C 類,,OP-133,待確認,營運,東昇,174,42.08
2026/6/9,L269241,B 類,,OP-127,已回報,營運,永利,43,15.43
6月13日,L266222,其他,合格,OP-113,已回報,研發,永利,228,96.23
2026/6/2,L261885,C 類,,OP-102,,研發,捷欣,236,17.65
7月23日,L266641,其他,,OP-108,,製造,捷欣,28,94.14
2026/7/27,L266318,C 類,待處理,OP-129,,品保,順發,98,25.36
2026/7/7,L265783,A 類,,OP-120,,資材,永利,184,36.18
7月17日,L269321,B 類,,OP-112,待確認,營運,順發,234,75.08
0707,L262054,C 類,已結案,OP-127,,營運,力鋼,126,27.03
2026/7/29,L260110,A 類,待處理,OP-111,待確認,營運,永利,120,37.42
0614,L267610,其他,不合格,OP-138,已回報,品保,永利,169,94.64
7月27日,L265827,A 類,,OP-130,,研發,永利,103,54.65
6月12日,L263760,其他,已結案,OP-116,,品保,順發,107,37.33
2026/6/11,L266222,其他,不合格,OP-123,已回報,製造,大宏,192,17.64
6月7日,L260424,A 類,已結案,OP-115,已回報,品保,東昇,41,48.04
0606,L265058,C 類,待處理,OP-126,,製造,永利,103,87.66
0702,L267014,A 類,,OP-143,,研發,捷欣,158,96.96
0629,L260083,B 類,合格,OP-120,,研發,力鋼,79,3.55
6月7日,L266243,其他,,OP-129,已回報,製造,捷欣,75,75.03
2026/6/29,L269629,C 類,,OP-136,,資材,大宏,177,36.78
2026/7/29,L269883,其他,待處理,OP-119,已回報,資材,力鋼,51,92.86
0715,L269585,C 類,待處理,OP-142,,資材,東昇,98,47.36
2026/7/12,L265045,其他,合格,OP-122,待確認,研發,順發,205,49.61
0618,L260942,其他,不合格,OP-121,,研發,捷欣,211,57.61
2026/7/10,L264868,C 類,不合格,OP-146,,營運,東昇,53,23.04
6月25日,L263396,A 類,,OP-146,,研發,大宏,118,18.27
7月28日,L262551,其他,,OP-142,,研發,東昇,67,77.73
2026/6/10,L263061,C 類,待處理,OP-116,,製造,順發,187,69.45
6月25日,L262090,A 類,,OP-139,,研發,力鋼,229,70.54
7月25日,L263712,其他,已結案,OP-101,,製造,東昇,190,12.6
2026/7/22,L262191,C 類,,OP-135,,製造,捷欣,33,89.78
0606,L263914,C 類,,OP-146,,品保,永利,240,95.85
0704,L268015,B 類,待處理,OP-139,,研發,東昇,76,57.92
0601,L267481,B 類,合格,OP-129,已回報,品保,順發,168,58.19
7月29日,L269467,B 類,,OP-103,待確認,資材,順發,8,82.58
2026/6/27,L269655,其他,待處理,OP-135,待確認,研發,永利,201,76.46
6月13日,L269620,B 類,,OP-121,已回報,品保,順發,230,64.67
6月27日,L266845,B 類,不合格,OP-137,已回報,品保,永利,177,69.19
2026/7/7,L260865,B 類,已結案,OP-136,已回報,品保,力鋼,201,95.56
0710,L263887,B 類,待處理,OP-145,,資材,大宏,86,50.27
7月6日,L264757,C 類,合格,OP-109,,資材,力鋼,89,11.39
6月13日,L264394,C 類,待處理,OP-116,待確認,營運,東昇,60,4.66
0704,L263145,B 類,待處理,OP-130,已回報,品保,東昇,32,93.38
2026/6/22,L264780,C 類,不合格,OP-130,待確認,品保,力鋼,52,60.12
2026/6/30,L261277,B 類,待處理,OP-134,,製造,東昇,8,34.09
2026/6/15,L266922,B 類,不合格,OP-127,,資材,順發,71,38.63
6月1日,L261427,A 類,不合格,OP-130,已回報,研發,捷欣,73,83.8
6月20日,L268118,其他,,OP-105,,營運,力鋼,51,33.76
7月27日,L262551,C 類,待處理,OP-143,,製造,大宏,75,2.38
2026/7/20,L260047,C 類,待處理,OP-120,已回報,研發,東昇,155,82.83
0606,L260013,其他,已結案,OP-108,,製造,力鋼,146,65.31
6月3日,L260365,C 類,,OP-123,待確認,製造,東昇,14,59.7
2026/6/3,L267134,B 類,,OP-115,,品保,東昇,197,33.86
0610,L269054,C 類,待處理,OP-143,待確認,品保,力鋼,229,2.47
2026/7/5,L269718,其他,,OP-122,已回報,營運,順發,83,36.77
0622,L268926,C 類,,OP-115,,資材,捷欣,116,90.51
2026/6/2,L262536,C 類,合格,OP-139,,營運,永利,109,90.32
0626,L267741,其他,不合格,OP-148,待確認,品保,捷欣,55,81.4
7月8日,L266091,其他,待處理,OP-124,,營運,順發,174,17.91
2026/6/2,L262025,其他,待處理,OP-133,待確認,營運,捷欣,91,57.31
6月29日,L261416,B 類,不合格,OP-140,,營運,東昇,187,95.96
2026/7/29,L267751,A 類,待處理,OP-146,,營運,東昇,104,27.86
2026/6/14,L269135,C 類,不合格,OP-125,待確認,製造,捷欣,82,53.92
0626,L266623,B 類,已結案,OP-143,待確認,製造,大宏,58,45.64
0607,L268756,B 類,不合格,OP-134,已回報,資材,捷欣,172,18.86
0609,L261376,其他,待處理,OP-121,待確認,研發,大宏,59,13.84
2026/7/9,L261866,B 類,待處理,OP-139,已回報,營運,東昇,127,22.15
0714,L264511,A 類,已結案,OP-122,,資材,力鋼,240,7.69
2026/7/30,L268820,其他,不合格,OP-105,,資材,順發,205,7.0
2026/6/15,L266351,其他,待處理,OP-132,待確認,品保,大宏,143,52.4
0701,L260941,其他,,OP-124,待確認,營運,大宏,223,94.32
0708,L263653,A 類,合格,OP-118,,研發,捷欣,143,10.33
2026/7/4,L261576,A 類,,OP-147,,製造,大宏,167,52.13
2026/7/22,L261311,C 類,待處理,OP-120,已回報,資材,永利,211,94.28
7月18日,L262115,B 類,不合格,OP-136,,營運,大宏,175,67.04
0615,L268124,A 類,合格,OP-124,,製造,東昇,27,68.87
0717,L263839,A 類,,OP-107,,研發,捷欣,139,68.38
0704,L260335,A 類,,OP-108,待確認,營運,力鋼,16,4.92
2026/7/16,L263863,A 類,合格,OP-123,,品保,東昇,131,59.74
2026/7/11,L263037,B 類,合格,OP-123,待確認,品保,力鋼,201,79.74
0712,L262577,C 類,已結案,OP-128,,營運,力鋼,62,28.77
2026/7/5,L264151,B 類,已結案,OP-108,待確認,品保,東昇,200,10.72
6月2日,L260525,A 類,已結案,OP-121,,製造,東昇,205,35.42
7月19日,L261715,C 類,,OP-135,待確認,營運,東昇,39,93.1
2026/7/7,L266033,B 類,待處理,OP-145,待確認,研發,永利,85,87.2
6月5日,L269398,C 類,已結案,OP-103,,研發,力鋼,114,14.24
2026/7/20,L266413,C 類,待處理,OP-108,已回報,資材,東昇,41,19.2
2026/7/23,L261885,其他,已結案,OP-143,,資材,捷欣,227,74.98
7月4日,L265760,A 類,,OP-142,,營運,大宏,121,56.76
2026/6/17,L262794,B 類,,OP-125,待確認,品保,力鋼,42,90.35
6月6日,L267345,B 類,合格,OP-101,,研發,東昇,87,93.22
0617,L260837,B 類,,OP-130,已回報,品保,東昇,7,60.79
2026/6/14,L265896,C 類,待處理,OP-124,,品保,永利,35,69.75
0715,L266755,A 類,,OP-112,已回報,製造,捷欣,173,56.92
2026/6/14,L263897,其他,,OP-104,,資材,永利,210,69.68
0708,L267151,其他,不合格,OP-142,,製造,捷欣,231,9.97
0613,L260450,B 類,待處理,OP-143,,製造,捷欣,52,44.8
0629,L266374,B 類,,OP-127,,營運,捷欣,58,91.31
0729,L269785,A 類,已結案,OP-110,,研發,東昇,18,6.01
7月19日,L261486,B 類,待處理,OP-102,,營運,永利,210,14.68
0614,L267287,B 類,,OP-114,已回報,研發,大宏,208,12.37
0708,L266134,其他,合格,OP-116,待確認,品保,力鋼,135,83.83
6月1日,L262443,A 類,合格,OP-138,已回報,資材,捷欣,152,97.86
7月14日,L263699,C 類,,OP-123,待確認,製造,力鋼,81,15.69
0702,L261349,C 類,待處理,OP-111,,營運,力鋼,146,14.86
0625,L269620,B 類,合格,OP-144,,研發,力鋼,64,2.0
2026/7/23,L264873,B 類,合格,OP-126,已回報,研發,順發,111,10.05
7月4日,L267972,B 類,已結案,OP-131,,品保,東昇,77,41.4
6月4日,L263098,C 類,不合格,OP-113,,研發,力鋼,164,23.26
2026/6/14,L263371,A 類,待處理,OP-127,,製造,東昇,151,51.85
0716,L262166,其他,,OP-139,已回報,研發,捷欣,226,49.77
6月2日,L269434,B 類,待處理,OP-148,已回報,營運,順發,238,73.01
2026/7/17,L263277,A 類,,OP-106,,資材,力鋼,51,18.13
7月30日,L265864,B 類,待處理,OP-142,已回報,營運,永利,168,79.44
7月1日,L261790,A 類,已結案,OP-109,,品保,捷欣,236,76.94
7月9日,L264635,C 類,,OP-148,,製造,順發,196,78.71
2026/6/26,L262383,B 類,待處理,OP-111,已回報,研發,東昇,137,53.91
0623,L268248,B 類,,OP-134,,品保,捷欣,88,5.77
6月11日,L266173,A 類,待處理,OP-144,待確認,研發,力鋼,216,70.48
0708,L266721,A 類,待處理,OP-133,,品保,東昇,43,92.31
0728,L265281,C 類,已結案,OP-116,,品保,捷欣,100,34.6
2026/6/27,L267668,其他,合格,OP-132,,營運,順發,224,1.49
0710,L261196,A 類,待處理,OP-126,,品保,力鋼,157,94.81
2026/7/7,L267555,C 類,,OP-126,,研發,永利,26,40.94
0719,L265736,C 類,待處理,OP-138,,品保,力鋼,190,60.26
2026/7/16,L267356,B 類,不合格,OP-141,已回報,研發,永利,66,89.36
0720,L268743,A 類,待處理,OP-144,,營運,捷欣,64,83.13
0616,L261896,其他,不合格,OP-132,,製造,大宏,54,4.16
7月8日,L267067,A 類,已結案,OP-129,待確認,品保,捷欣,140,43.26
7月3日,L269118,B 類,合格,OP-137,已回報,製造,力鋼,221,12.55
2026/6/24,L269728,A 類,待處理,OP-111,,資材,永利,176,44.64
2026/7/28,L267219,C 類,合格,OP-135,,營運,東昇,32,32.97
0609,L269889,其他,,OP-105,已回報,營運,東昇,174,81.58
0730,L264569,A 類,已結案,OP-109,,製造,東昇,196,10.28
7月12日,L264678,其他,待處理,OP-113,待確認,資材,大宏,227,34.67
0705,L265027,C 類,,OP-140,,資材,捷欣,214,40.34
2026/7/17,L269210,A 類,合格,OP-106,,資材,大宏,40,38.41
2026/7/22,L265454,B 類,,OP-103,,製造,永利,227,85.69
2026/6/29,L264080,A 類,不合格,OP-148,,資材,永利,154,39.49
6月30日,L263191,B 類,待處理,OP-144,,品保,大宏,86,92.24
0611,L262835,其他,不合格,OP-113,,研發,東昇,90,32.59
7月25日,L262479,其他,已結案,OP-115,,研發,大宏,40,3.86
0629,L260028,C 類,不合格,OP-118,已回報,資材,順發,48,20.61
0730,L264391,A 類,,OP-123,待確認,研發,捷欣,25,9.04
7月4日,L263167,A 類,已結案,OP-117,待確認,研發,力鋼,1,16.74
2026/6/19,L269149,C 類,待處理,OP-122,待確認,資材,力鋼,11,20.96
6月1日,L264921,B 類,不合格,OP-121,,資材,永利,237,13.11
0718,L264351,A 類,,OP-103,,製造,力鋼,37,1.45
0718,L269148,其他,待處理,OP-124,,製造,大宏,29,92.27
7月18日,L264156,其他,合格,OP-134,待確認,品保,捷欣,112,86.49
6月6日,L267875,A 類,待處理,OP-133,已回報,品保,永利,54,82.29
7月15日,L264397,C 類,不合格,OP-138,已回報,品保,永利,208,50.57
7月22日,L264349,A 類,,OP-106,,品保,捷欣,70,94.95
7月5日,L269864,C 類,合格,OP-134,待確認,資材,永利,147,18.27
7月9日,L266563,其他,已結案,OP-128,,研發,力鋼,165,56.73
6月1日,L262999,C 類,,OP-146,,品保,大宏,18,64.99
2026/7/28,L265290,A 類,待處理,OP-116,待確認,品保,力鋼,96,13.48
6月18日,L269391,C 類,合格,OP-122,待確認,資材,捷欣,181,85.76
2026/6/17,L264823,其他,,OP-133,待確認,研發,大宏,139,70.08
7月2日,L266666,B 類,待處理,OP-134,,製造,順發,222,15.16
2026/7/30,L260981,A 類,已結案,OP-129,,品保,東昇,65,0.43
7月9日,L263832,其他,,OP-130,待確認,營運,順發,126,50.26
7月5日,L264383,B 類,,OP-106,已回報,資材,大宏,201,88.64
2026/7/24,L264471,其他,,OP-105,已回報,資材,東昇,32,77.89
2026/6/1,L263367,C 類,,OP-120,,營運,東昇,131,63.06
2026/7/21,L263779,C 類,,OP-117,,營運,大宏,41,67.97
6月25日,L269987,C 類,合格,OP-136,,品保,大宏,104,29.32
2026/7/2,L269847,其他,合格,OP-146,,製造,大宏,223,19.34
0626,L260489,其他,合格,OP-121,,營運,永利,63,11.66
2026/6/28,L263391,其他,,OP-144,,製造,力鋼,86,60.51
2026/6/28,L266236,A 類,不合格,OP-111,已回報,資材,力鋼,180,91.08
6月1日,L267451,C 類,合格,OP-116,待確認,研發,東昇,39,90.81
6月2日,L267267,B 類,不合格,OP-135,,研發,捷欣,188,69.82
0616,L264419,C 類,待處理,OP-128,,資材,力鋼,68,3.65
2026/7/2,L261970,A 類,不合格,OP-123,待確認,研發,力鋼,68,54.04
7月11日,L263389,B 類,已結案,OP-110,,製造,永利,192,48.22
0627,L264893,其他,已結案,OP-141,,營運,順發,209,74.82
6月9日,L260799,C 類,,OP-106,,製造,順發,142,59.8
2026/7/11,L263427,A 類,,OP-123,已回報,營運,力鋼,187,29.74
0620,L262620,C 類,,OP-104,,研發,大宏,82,20.64
2026/6/9,L261296,C 類,待處理,OP-140,,營運,永利,40,51.44
0714,L266772,B 類,待處理,OP-120,待確認,品保,順發,110,33.34
7月16日,L265143,C 類,已結案,OP-109,,營運,力鋼,195,39.46
2026/6/22,L267364,A 類,,OP-146,已回報,營運,力鋼,74,19.28
0723,L261978,C 類,不合格,OP-102,已回報,資材,捷欣,6,82.36
7月24日,L265634,B 類,,OP-143,,品保,東昇,78,51.46
0712,L267476,A 類,,OP-136,,品保,捷欣,202,24.8
2026/6/19,L265392,C 類,合格,OP-126,,製造,東昇,220,1.51
6月28日,L265574,B 類,不合格,OP-119,,製造,永利,232,85.53
0626,L262985,A 類,,OP-107,,營運,力鋼,213,34.78
6月30日,L267135,C 類,不合格,OP-125,待確認,資材,大宏,118,56.43
2026/7/21,L265388,A 類,已結案,OP-113,已回報,製造,捷欣,233,37.28
2026/6/22,L266453,其他,待處理,OP-144,待確認,營運,力鋼,69,89.32
2026/6/5,L266430,A 類,合格,OP-112,已回報,研發,永利,223,30.06
0608,L266673,其他,待處理,OP-123,待確認,研發,東昇,10,62.58
6月1日,L263321,A 類,待處理,OP-132,,資材,東昇,63,66.24
2026/6/24,L263986,A 類,待處理,OP-147,待確認,品保,捷欣,59,67.22
2026/6/21,L269018,其他,,OP-109,待確認,品保,永利,110,46.21
2026/6/29,L260122,其他,待處理,OP-111,待確認,研發,順發,1,75.09
7月16日,L269747,C 類,不合格,OP-117,已回報,研發,東昇,181,24.09
2026/7/4,L265148,A 類,待處理,OP-127,,製造,大宏,34,3.73
6月11日,L267847,C 類,,OP-128,,資材,力鋼,107,28.57
6月19日,L262617,A 類,已結案,OP-122,已回報,研發,順發,63,97.25
7月7日,L263961,B 類,,OP-133,,品保,力鋼,240,48.23
7月6日,L266587,其他,合格,OP-104,,品保,力鋼,188,37.13
6月8日,L261876,C 類,已結案,OP-105,已回報,營運,大宏,152,68.18
7月4日,L267585,B 類,合格,OP-116,,品保,東昇,11,43.07
7月15日,L261324,其他,待處理,OP-113,,研發,順發,151,55.28
0708,L262681,C 類,待處理,OP-112,,營運,東昇,224,70.41
6月21日,L268620,C 類,合格,OP-108,待確認,資材,順發,118,82.13
7月5日,L266277,其他,已結案,OP-119,待確認,製造,大宏,7,47.3
7月9日,L262881,A 類,不合格,OP-124,已回報,研發,永利,238,32.76
2026/6/11,L267057,C 類,不合格,OP-144,,營運,大宏,238,6.96
0619,L265917,其他,已結案,OP-143,已回報,營運,捷欣,214,36.33
0729,L260852,C 類,不合格,OP-116,,品保,力鋼,153,63.59
2026/6/9,L263646,其他,不合格,OP-139,已回報,製造,力鋼,42,91.88
6月7日,L260981,A 類,不合格,OP-140,,營運,永利,137,26.57
0618,L266799,其他,已結案,OP-107,,營運,東昇,231,12.25
0714,L264152,其他,,OP-129,,品保,東昇,210,93.98
6月25日,L265085,其他,,OP-113,,製造,力鋼,15,95.41
0724,L263035,A 類,待處理,OP-113,已回報,資材,大宏,238,47.19
0602,L260310,其他,待處理,OP-112,,營運,永利,153,21.16
0615,L261966,B 類,,OP-131,已回報,營運,東昇,131,24.29
2026/7/10,L262947,C 類,不合格,OP-147,,製造,順發,72,39.99
7月9日,L262689,C 類,不合格,OP-121,,營運,順發,65,69.45
2026/6/24,L268440,其他,,OP-106,,營運,大宏,92,39.17
7月28日,L269145,C 類,待處理,OP-106,,研發,東昇,154,67.18
0719,L263527,B 類,合格,OP-115,,研發,永利,113,91.0
2026/7/28,L263774,其他,不合格,OP-136,,營運,東昇,133,13.52
2026/7/2,L263768,A 類,不合格,OP-119,,營運,東昇,160,8.59
2026/6/9,L264621,B 類,待處理,OP-128,,營運,捷欣,96,4.47
6月11日,L263474,A 類,待處理,OP-138,,營運,永利,84,58.73
0621,L268478,C 類,不合格,OP-117,已回報,研發,順發,20,32.61
0612,L260838,C 類,已結案,OP-108,已回報,營運,永利,80,92.36
0606,L263444,C 類,已結案,OP-136,待確認,品保,大宏,30,85.28
0608,L266013,C 類,,OP-140,待確認,研發,力鋼,12,72.97
2026/7/29,L268592,C 類,,OP-116,,資材,順發,234,6.76
2026/7/20,L269822,C 類,待處理,OP-107,,研發,順發,217,89.62
0714,L268192,其他,合格,OP-123,已回報,品保,捷欣,64,9.86
7月6日,L264973,A 類,已結案,OP-141,,資材,永利,92,39.28
7月26日,L269194,其他,已結案,OP-127,,品保,捷欣,202,50.6
6月21日,L269171,B 類,合格,OP-140,,製造,大宏,100,56.44
2026/7/26,L264548,C 類,,OP-128,已回報,資材,大宏,21,79.64
2026/7/21,L268577,B 類,已結案,OP-126,,品保,順發,182,37.91
6月14日,L264559,C 類,,OP-102,已回報,營運,東昇,228,63.89
2026/6/13,L260078,其他,,OP-131,,資材,東昇,26,47.58
0730,L267521,C 類,合格,OP-101,,品保,力鋼,127,64.66
6月27日,L267328,C 類,待處理,OP-129,已回報,製造,永利,216,87.83
0608,L265991,C 類,不合格,OP-135,,研發,永利,225,38.08
7月20日,L267321,A 類,待處理,OP-123,,研發,永利,37,95.63
7月19日,L265547,其他,不合格,OP-147,待確認,品保,順發,129,54.49
