日期,編號,項目,狀態,負責人,備註,單位,客戶,耗時分鐘,金額
2025-06-26,L261757,C 類,待處理,OP-126,已回報,製造,順發,167,28.88
2025-06-11,L263873,其他,已結案,OP-117,,品保,大宏,22,13.97
2025-06-14,L264787,B 類,合格,OP-145,,資材,東昇,175,85.16
2025-07-06,L264982,其他,不合格,OP-105,,製造,大宏,23,70.63
2025-07-22,L269646,A 類,待處理,OP-101,,製造,順發,130,38.5
2025-07-16,L261077,B 類,待處理,OP-143,,資材,東昇,213,17.68
2025-06-09,L268914,B 類,合格,OP-148,,資材,永利,171,9.05
2025-07-15,L268490,B 類,已結案,OP-141,已回報,營運,東昇,55,47.73
2025-06-11,L263277,A 類,合格,OP-110,,營運,東昇,143,1.54
2025-06-02,L264431,C 類,合格,OP-140,待確認,品保,永利,187,92.48
2025-07-04,L263958,其他,待處理,OP-123,,資材,永利,134,17.93
2025-07-30,L263569,B 類,待處理,OP-138,待確認,營運,大宏,128,35.56
2025-06-17,L261279,B 類,不合格,OP-137,已回報,資材,力鋼,38,47.48
2025-07-04,L264355,C 類,不合格,OP-124,待確認,品保,力鋼,182,43.76
2025-07-03,L262692,其他,待處理,OP-112,,資材,大宏,165,79.33
2025-06-08,L263660,其他,已結案,OP-143,,資材,大宏,9,89.82
2025-06-26,L260075,C 類,待處理,OP-144,,品保,永利,149,63.61
2025-07-10,L267229,B 類,待處理,OP-128,,營運,捷欣,11,16.02
2025-07-09,L262696,A 類,不合格,OP-129,,品保,大宏,201,1.92
2025-07-17,L264722,其他,合格,OP-108,待確認,資材,順發,208,48.98
2025-07-24,L267761,其他,不合格,OP-140,待確認,營運,大宏,85,43.33
2025-07-20,L266423,C 類,待處理,OP-114,,資材,力鋼,206,70.14
2025-06-18,L261924,A 類,合格,OP-104,待確認,資材,永利,219,19.12
2025-06-08,L268236,B 類,待處理,OP-109,待確認,品保,大宏,183,74.47
2025-07-09,L260517,其他,待處理,OP-135,,製造,東昇,181,57.14
2025-07-28,L263543,其他,合格,OP-147,,資材,力鋼,1,76.63
2025-06-15,L264417,C 類,已結案,OP-112,待確認,營運,永利,233,16.78
2025-06-14,L260349,C 類,待處理,OP-122,,資材,東昇,115,52.62
2025-07-13,L266740,其他,合格,OP-112,已回報,研發,永利,153,90.54
2025-06-03,L262727,其他,不合格,OP-101,,研發,捷欣,140,72.46
2025-06-07,L260473,B 類,合格,OP-116,,研發,永利,47,29.98
2025-06-01,L261462,A 類,不合格,OP-102,,品保,大宏,219,77.99
2025-07-14,L264772,A 類,不合格,OP-128,待確認,品保,順發,8,54.68
2025-07-29,L260645,A 類,已結案,OP-122,,研發,東昇,19,81.58
2025-07-04,L265930,B 類,合格,OP-134,,營運,東昇,230,30.08
2025-07-13,L265512,C 類,待處理,OP-138,待確認,資材,順發,42,1.47
2025-06-22,L264515,B 類,合格,OP-118,待確認,製造,順發,67,89.43
2025-06-20,L267795,其他,合格,OP-112,,研發,大宏,98,32.98
2025-06-03,L264759,C 類,待處理,OP-137,待確認,研發,東昇,5,44.11
2025-06-22,L260996,A 類,合格,OP-117,待確認,製造,捷欣,3,69.94
2025-07-26,L263626,C 類,不合格,OP-114,待確認,製造,東昇,177,52.18
2025-07-12,L261989,其他,待處理,OP-142,,營運,捷欣,208,82.28
2025-06-19,L262982,B 類,合格,OP-126,,品保,東昇,67,72.94
2025-06-11,L268090,C 類,不合格,OP-140,,資材,東昇,169,12.78
2025-06-24,L261274,B 類,待處理,OP-128,,營運,大宏,47,82.03
2025-07-20,L269541,C 類,待處理,OP-133,待確認,資材,捷欣,32,41.82
2025-06-23,L261695,其他,待處理,OP-120,,研發,東昇,2,91.87
2025-07-27,L260484,C 類,不合格,OP-138,已回報,研發,大宏,40,82.61
2025-06-07,L266871,C 類,合格,OP-113,已回報,研發,捷欣,201,40.22
2025-07-15,L266550,C 類,不合格,OP-105,,研發,大宏,195,36.4
2025-06-17,L264846,C 類,待處理,OP-138,,品保,永利,233,48.16
2025-07-25,L263126,C 類,已結案,OP-132,已回報,品保,東昇,91,53.64
2025-06-10,L260796,B 類,已結案,OP-144,待確認,製造,東昇,160,84.14
2025-06-23,L265316,C 類,待處理,OP-109,已回報,營運,力鋼,103,68.4
2025-06-24,L263317,C 類,待處理,OP-129,,品保,力鋼,120,69.31
2025-06-21,L267945,B 類,待處理,OP-128,已回報,資材,永利,70,63.69
2025-06-08,L262781,A 類,合格,OP-139,待確認,製造,永利,23,37.8
2025-07-12,L260991,其他,不合格,OP-137,,營運,捷欣,194,19.04
2025-07-12,L262034,B 類,待處理,OP-119,待確認,製造,捷欣,165,84.94
2025-06-12,L269824,C 類,待處理,OP-124,,製造,順發,104,80.13
2025-06-09,L266024,其他,待處理,OP-139,,營運,東昇,219,32.04
2025-06-20,L268053,其他,不合格,OP-143,,資材,捷欣,63,73.81
2025-06-02,L264099,C 類,已結案,OP-110,,製造,東昇,155,91.6
2025-06-25,L267538,C 類,合格,OP-104,,資材,東昇,140,55.92
2025-07-07,L267814,C 類,不合格,OP-124,已回報,營運,東昇,230,43.98
2025-06-10,L267625,C 類,合格,OP-135,已回報,營運,捷欣,83,70.48
2025-07-06,L265242,C 類,待處理,OP-118,,研發,東昇,142,78.33
2025-07-10,L264177,A 類,合格,OP-130,待確認,品保,捷欣,147,39.96
2025-06-29,L269034,C 類,不合格,OP-101,,研發,大宏,236,86.6
2025-06-04,L268092,C 類,待處理,OP-114,,品保,捷欣,66,9.8
2025-06-08,L263674,A 類,不合格,OP-140,,製造,東昇,51,52.6
2025-07-07,L263319,其他,不合格,OP-145,,資材,力鋼,73,82.04
2025-07-29,L264626,其他,已結案,OP-140,待確認,研發,力鋼,157,90.36
2025-07-01,L260276,B 類,待處理,OP-147,,研發,捷欣,11,68.14
2025-07-08,L264450,B 類,不合格,OP-119,待確認,資材,東昇,5,87.17
2025-06-25,L263651,B 類,待處理,OP-142,已回報,品保,大宏,78,15.86
2025-06-12,L265248,A 類,不合格,OP-133,,營運,順發,20,95.02
2025-06-28,L261127,其他,不合格,OP-108,,營運,東昇,44,73.37
2025-06-16,L268939,C 類,已結案,OP-132,,營運,力鋼,68,8.96
2025-06-28,L264834,其他,待處理,OP-103,,營運,永利,176,14.21
2025-07-19,L263092,A 類,已結案,OP-133,待確認,製造,永利,102,42.53
2025-07-19,L260966,B 類,待處理,OP-107,,營運,力鋼,69,57.43
2025-06-15,L269259,A 類,合格,OP-145,,研發,順發,44,63.35
2025-06-25,L263632,B 類,已結案,OP-103,,研發,大宏,70,95.76
2025-07-01,L268582,A 類,待處理,OP-127,已回報,研發,大宏,222,73.61
2025-06-03,L260531,A 類,待處理,OP-128,,製造,順發,167,63.47
2025-06-17,L269993,B 類,合格,OP-106,,研發,永利,217,0.43
2025-06-19,L260076,C 類,合格,OP-142,,品保,捷欣,137,81.37
2025-07-14,L263019,其他,待處理,OP-124,已回報,資材,永利,181,62.72
2025-06-24,L269953,B 類,已結案,OP-138,已回報,品保,東昇,127,17.44
2025-07-14,L269264,C 類,待處理,OP-146,待確認,研發,大宏,138,52.66
2025-06-04,L260829,其他,已結案,OP-127,,營運,順發,156,38.29
2025-07-19,L266462,其他,已結案,OP-140,,資材,大宏,235,58.67
2025-07-11,L269296,C 類,待處理,OP-147,已回報,研發,順發,216,23.77
2025-06-18,L266071,B 類,待處理,OP-108,,研發,順發,122,93.76
2025-06-09,L267390,B 類,已結案,OP-136,,品保,東昇,85,52.7
2025-07-11,L269328,B 類,合格,OP-139,,製造,永利,36,90.44
2025-07-23,L261766,其他,合格,OP-142,,研發,捷欣,121,79.66
2025-06-14,L268182,其他,待處理,OP-116,,研發,順發,211,39.26
2025-07-17,L260982,B 類,待處理,OP-126,,品保,力鋼,151,95.75
2025-07-27,L266279,A 類,不合格,OP-125,,製造,永利,198,63.55
2025-07-01,L265876,A 類,合格,OP-122,已回報,營運,東昇,15,43.87
2025-07-18,L262288,其他,待處理,OP-105,待確認,營運,捷欣,71,77.79
2025-06-10,L264786,其他,不合格,OP-127,,營運,力鋼,128,34.61
2025-07-04,L263624,其他,不合格,OP-138,,研發,大宏,76,61.49
2025-07-28,L260023,其他,待處理,OP-114,,營運,大宏,15,19.82
2025-06-18,L260860,其他,待處理,OP-144,,研發,永利,129,45.37
2025-06-30,L264381,A 類,合格,OP-113,,品保,東昇,135,40.73
2025-06-14,L260817,其他,合格,OP-121,待確認,品保,大宏,158,16.47
2025-07-30,L263581,B 類,合格,OP-145,待確認,營運,順發,64,95.83
2025-06-29,L264382,B 類,已結案,OP-146,,營運,永利,237,42.43
2025-06-26,L267622,B 類,已結案,OP-124,,營運,順發,39,80.94
2025-07-11,L269385,A 類,待處理,OP-130,已回報,研發,大宏,192,54.68
2025-06-19,L262095,B 類,已結案,OP-121,待確認,研發,永利,33,85.13
2025-06-26,L260799,A 類,不合格,OP-141,待確認,研發,力鋼,100,23.45
2025-07-27,L266811,其他,待處理,OP-141,待確認,品保,力鋼,157,40.97
2025-07-10,L264151,B 類,已結案,OP-140,,品保,捷欣,31,79.82
2025-06-19,L262671,B 類,待處理,OP-120,,製造,力鋼,68,34.23
2025-06-22,L267936,B 類,合格,OP-101,,品保,大宏,201,15.86
2025-06-13,L267497,其他,待處理,OP-129,,研發,大宏,181,72.63
2025-07-22,L266068,C 類,不合格,OP-124,待確認,營運,捷欣,227,83.99
2025-07-29,L267050,C 類,已結案,OP-103,,資材,順發,140,70.72
2025-06-02,L261024,其他,已結案,OP-112,,資材,順發,48,81.12
2025-07-19,L262348,其他,待處理,OP-114,已回報,品保,永利,223,35.54
2025-07-16,L267046,C 類,不合格,OP-115,,製造,力鋼,114,11.62
2025-06-18,L263343,其他,不合格,OP-143,,品保,永利,123,82.26
2025-07-29,L263565,A 類,已結案,OP-117,,製造,力鋼,119,7.69
2025-07-18,L262551,C 類,不合格,OP-107,已回報,營運,永利,231,59.69
2025-07-06,L268111,A 類,不合格,OP-126,,資材,東昇,208,50.45
2025-07-16,L266542,A 類,待處理,OP-113,待確認,資材,順發,156,27.34
2025-07-02,L267181,C 類,不合格,OP-130,,研發,東昇,20,92.91
2025-06-07,L267367,其他,合格,OP-137,,資材,永利,48,33.21
2025-07-14,L267652,C 類,待處理,OP-121,已回報,營運,捷欣,55,68.42
2025-07-25,L269136,B 類,合格,OP-116,,製造,捷欣,121,8.6
2025-07-23,L260225,C 類,合格,OP-124,,資材,大宏,122,48.97
2025-06-09,L260126,B 類,不合格,OP-106,,研發,東昇,114,91.91
2025-07-21,L268697,C 類,合格,OP-143,,製造,力鋼,57,15.96
2025-06-15,L264632,C 類,待處理,OP-144,,品保,力鋼,157,55.28
2025-07-21,L261125,B 類,不合格,OP-106,待確認,製造,大宏,19,42.83
2025-07-16,L261734,B 類,不合格,OP-127,,製造,捷欣,34,95.56
2025-07-05,L263597,B 類,待處理,OP-102,,資材,力鋼,159,87.29
2025-06-16,L263466,B 類,待處理,OP-118,已回報,資材,東昇,40,68.06
2025-07-11,L266076,B 類,合格,OP-135,已回報,資材,大宏,235,38.96
2025-06-18,L264958,C 類,合格,OP-104,,資材,捷欣,186,28.86
2025-07-11,L269799,B 類,已結案,OP-141,,品保,捷欣,159,36.93
2025-07-11,L260845,C 類,已結案,OP-116,,品保,順發,148,73.33
2025-07-03,L262742,其他,已結案,OP-142,已回報,製造,大宏,22,72.27
2025-06-02,L264881,A 類,不合格,OP-124,,製造,永利,151,58.18
2025-07-11,L265378,B 類,待處理,OP-122,已回報,資材,永利,32,50.54
2025-06-27,L262512,B 類,不合格,OP-129,,資材,順發,108,49.69
2025-06-17,L260198,其他,不合格,OP-136,,製造,捷欣,122,6.15
2025-06-11,L262123,C 類,待處理,OP-116,,研發,順發,5,45.17
2025-06-09,L268771,其他,合格,OP-136,已回報,研發,東昇,173,33.26
2025-06-07,L268780,C 類,不合格,OP-123,待確認,製造,大宏,58,54.18
2025-06-14,L265712,B 類,不合格,OP-117,已回報,品保,捷欣,143,16.49
2025-06-08,L265784,A 類,合格,OP-135,待確認,製造,順發,149,70.43
2025-06-25,L267755,B 類,合格,OP-134,,品保,東昇,169,64.81
2025-07-17,L267556,C 類,合格,OP-109,已回報,營運,東昇,100,77.51
2025-07-07,L261722,其他,不合格,OP-112,待確認,資材,捷欣,229,0.84
2025-07-06,L269488,A 類,合格,OP-112,,資材,大宏,30,68.25
2025-07-11,L263194,其他,不合格,OP-116,已回報,營運,捷欣,179,70.8
2025-06-03,L265190,A 類,合格,OP-145,待確認,營運,順發,75,56.65
2025-07-22,L262657,A 類,合格,OP-143,已回報,品保,順發,34,15.2
2025-07-07,L260924,B 類,不合格,OP-125,,品保,捷欣,104,34.11
2025-07-29,L261886,A 類,待處理,OP-138,待確認,營運,力鋼,146,80.64
2025-07-21,L260139,其他,待處理,OP-142,,營運,東昇,171,41.13
2025-06-08,L267895,C 類,待處理,OP-136,,製造,大宏,219,63.41
2025-06-03,L262449,B 類,待處理,OP-121,已回報,營運,東昇,184,96.1
2025-06-22,L265367,C 類,合格,OP-137,已回報,製造,東昇,129,19.17
2025-06-01,L269071,B 類,已結案,OP-111,已回報,研發,捷欣,57,54.99
2025-07-05,L263263,A 類,待處理,OP-111,待確認,製造,東昇,20,95.85
2025-07-30,L267470,A 類,合格,OP-106,,研發,力鋼,229,84.14
2025-06-09,L265567,C 類,已結案,OP-128,,營運,力鋼,168,29.74
2025-06-08,L265856,A 類,已結案,OP-133,,研發,大宏,190,95.96
2025-07-20,L264296,B 類,已結案,OP-129,已回報,營運,順發,33,94.9
2025-06-15,L267934,C 類,已結案,OP-141,已回報,研發,捷欣,39,32.16
2025-07-20,L269413,A 類,已結案,OP-119,,製造,捷欣,175,23.68
2025-07-20,L266732,其他,不合格,OP-130,,製造,東昇,64,95.18
2025-06-07,L267569,C 類,不合格,OP-117,,營運,力鋼,104,7.85
2025-07-21,L265081,B 類,合格,OP-142,已回報,品保,捷欣,9,52.28
2025-07-24,L263213,C 類,不合格,OP-126,待確認,資材,永利,88,92.91
2025-07-23,L261314,其他,已結案,OP-108,,品保,大宏,221,72.88
2025-06-07,L265827,A 類,不合格,OP-119,待確認,品保,捷欣,53,41.26
2025-07-12,L268042,B 類,不合格,OP-119,待確認,研發,東昇,138,33.55
2025-07-01,L268256,C 類,待處理,OP-134,,資材,順發,146,52.13
2025-07-30,L269823,其他,不合格,OP-123,待確認,製造,東昇,17,84.36
2025-07-14,L262420,C 類,待處理,OP-119,已回報,製造,捷欣,5,27.13
2025-07-24,L260553,C 類,待處理,OP-110,,製造,捷欣,231,80.22
2025-07-22,L267088,B 類,待處理,OP-122,,研發,大宏,223,27.16
2025-07-08,L260646,C 類,已結案,OP-107,,營運,東昇,206,33.99
2025-06-08,L266972,A 類,已結案,OP-116,,品保,順發,34,26.13
2025-06-07,L267923,其他,已結案,OP-101,,製造,東昇,130,62.94
2025-06-16,L269568,B 類,待處理,OP-137,,資材,東昇,223,8.23
2025-06-10,L261916,其他,合格,OP-127,待確認,製造,順發,140,0.5
2025-07-18,L265333,C 類,合格,OP-130,,營運,東昇,211,68.2
2025-07-18,L269621,其他,不合格,OP-146,,研發,捷欣,90,55.5
2025-07-13,L260210,A 類,合格,OP-144,,製造,捷欣,208,9.57
2025-07-12,L266898,B 類,待處理,OP-109,待確認,製造,捷欣,102,61.75
2025-06-07,L268642,A 類,待處理,OP-106,,營運,順發,179,58.9
2025-07-10,L264953,A 類,待處理,OP-145,,營運,順發,21,83.34
2025-07-19,L265840,其他,合格,OP-112,,資材,力鋼,71,64.05
2025-06-09,L264065,B 類,待處理,OP-126,已回報,研發,永利,153,1.97
2025-07-12,L265883,B 類,待處理,OP-146,已回報,製造,永利,123,22.91
2025-06-30,L266864,C 類,待處理,OP-127,,品保,東昇,232,57.4
2025-07-29,L267419,A 類,合格,OP-137,已回報,研發,大宏,132,23.91
2025-06-24,L261385,B 類,待處理,OP-136,,營運,捷欣,111,28.77
2025-06-14,L266220,C 類,已結案,OP-121,,製造,順發,50,53.41
2025-06-06,L269710,C 類,待處理,OP-107,已回報,營運,捷欣,46,96.98
2025-07-05,L264720,其他,合格,OP-102,待確認,資材,力鋼,43,13.66
2025-07-19,L260454,其他,合格,OP-120,,營運,東昇,87,16.22
2025-06-24,L266043,C 類,待處理,OP-141,待確認,製造,永利,146,34.83
2025-06-30,L264594,C 類,待處理,OP-146,,研發,東昇,131,50.23
2025-06-02,L262790,A 類,合格,OP-131,,品保,大宏,3,92.25
2025-07-19,L266264,C 類,待處理,OP-148,,營運,捷欣,205,82.02
2025-07-07,L262276,C 類,合格,OP-135,,製造,捷欣,84,63.33
2025-06-07,L265890,C 類,已結案,OP-129,,研發,東昇,117,9.7
2025-06-16,L263417,其他,已結案,OP-143,已回報,資材,永利,29,57.11
2025-07-16,L267346,C 類,不合格,OP-120,,營運,捷欣,7,50.1
2025-06-25,L260257,C 類,待處理,OP-120,,品保,捷欣,41,17.99
2025-07-20,L269980,B 類,待處理,OP-114,,製造,永利,102,27.45
2025-07-06,L260867,A 類,不合格,OP-106,,研發,捷欣,95,47.8
2025-06-18,L264820,A 類,待處理,OP-115,已回報,營運,東昇,222,88.95
2025-06-04,L265987,其他,合格,OP-118,已回報,資材,順發,38,87.26
2025-06-30,L265423,B 類,合格,OP-103,,資材,順發,77,91.06
2025-07-05,L267092,其他,不合格,OP-141,已回報,製造,順發,213,46.24
2025-06-04,L261877,A 類,不合格,OP-141,待確認,營運,捷欣,36,32.9
2025-06-02,L260021,A 類,已結案,OP-123,待確認,研發,力鋼,13,38.84
2025-06-04,L263815,B 類,待處理,OP-110,,營運,東昇,119,68.93
2025-07-14,L261161,其他,待處理,OP-148,,營運,捷欣,229,91.25
2025-07-09,L260198,B 類,待處理,OP-141,,營運,捷欣,135,35.1
2025-07-16,L260949,其他,待處理,OP-147,,製造,順發,99,94.53
2025-07-15,L261354,其他,不合格,OP-135,,製造,捷欣,175,16.55
2025-06-21,L264968,C 類,不合格,OP-128,,研發,永利,211,39.77
2025-07-30,L268890,A 類,已結案,OP-146,,資材,大宏,225,80.7
2025-07-16,L260942,其他,待處理,OP-141,,品保,永利,238,40.7
2025-07-16,L265393,其他,合格,OP-119,待確認,製造,順發,90,12.37
2025-07-23,L263020,B 類,不合格,OP-102,待確認,研發,大宏,36,77.32
2025-06-04,L266626,B 類,待處理,OP-114,待確認,製造,捷欣,134,22.34
2025-06-01,L260689,B 類,待處理,OP-109,,資材,東昇,63,53.88
2025-06-28,L261439,B 類,不合格,OP-147,待確認,製造,永利,112,58.99
2025-06-26,L266582,B 類,不合格,OP-124,待確認,製造,力鋼,72,14.28
2025-06-08,L260333,C 類,已結案,OP-127,,研發,捷欣,173,89.19
2025-06-02,L265776,C 類,不合格,OP-145,,研發,大宏,115,8.37
2025-06-08,L262665,C 類,已結案,OP-126,,營運,東昇,141,67.9
2025-07-30,L268572,其他,合格,OP-102,已回報,製造,東昇,203,15.67
2025-07-25,L265738,C 類,不合格,OP-148,,營運,東昇,144,69.63
2025-06-14,L265953,C 類,合格,OP-139,已回報,資材,東昇,171,33.09
2025-06-03,L266231,B 類,合格,OP-137,,研發,大宏,162,54.17
2025-06-17,L268593,其他,合格,OP-137,待確認,品保,永利,207,23.44
2025-07-09,L265391,A 類,待處理,OP-127,,製造,東昇,38,52.65
2025-07-14,L267212,A 類,不合格,OP-122,待確認,製造,捷欣,29,54.43
2025-07-24,L264418,A 類,已結案,OP-148,,資材,永利,97,26.18
2025-06-17,L269759,B 類,不合格,OP-128,,資材,力鋼,146,37.35
2025-06-05,L265676,B 類,不合格,OP-123,已回報,資材,東昇,70,81.82
2025-06-20,L264175,B 類,不合格,OP-107,已回報,研發,順發,119,69.09
2025-06-13,L268685,其他,不合格,OP-127,,製造,永利,72,54.09
2025-07-03,L263073,C 類,不合格,OP-112,,研發,順發,109,10.52
2025-06-16,L262529,B 類,待處理,OP-104,,製造,捷欣,225,97.67
2025-06-30,L260939,A 類,不合格,OP-128,待確認,品保,大宏,128,32.32
2025-06-23,L260819,A 類,待處理,OP-132,,品保,東昇,32,83.17
2025-06-20,L262945,A 類,待處理,OP-126,,品保,力鋼,68,85.38
2025-07-30,L264795,其他,合格,OP-106,,營運,永利,113,84.44
2025-06-04,L264297,C 類,已結案,OP-104,,資材,順發,81,23.25
2025-07-24,L266274,A 類,待處理,OP-122,待確認,研發,捷欣,182,89.06
2025-07-04,L264660,C 類,待處理,OP-109,,研發,順發,79,74.41
2025-07-24,L269290,A 類,已結案,OP-148,,品保,東昇,171,56.53
2025-06-21,L261016,其他,已結案,OP-139,,資材,順發,98,63.23
2025-07-17,L266634,C 類,待處理,OP-142,已回報,資材,大宏,30,3.4
2025-07-03,L261743,B 類,不合格,OP-117,,品保,捷欣,175,57.02
2025-06-01,L268488,A 類,待處理,OP-132,已回報,製造,力鋼,16,42.26
2025-07-30,L267952,C 類,已結案,OP-143,待確認,營運,永利,127,31.67
2025-07-14,L260754,A 類,已結案,OP-101,待確認,研發,永利,16,42.98
2025-07-03,L260645,A 類,已結案,OP-113,,研發,力鋼,169,7.35
2025-06-03,L264866,A 類,不合格,OP-146,,營運,大宏,72,64.83
2025-07-01,L264633,A 類,待處理,OP-142,,研發,力鋼,82,31.31
2025-06-16,L268573,A 類,合格,OP-102,已回報,營運,捷欣,78,58.33
2025-06-14,L262959,A 類,待處理,OP-105,,研發,力鋼,30,52.71
2025-06-11,L267954,A 類,已結案,OP-114,,製造,力鋼,212,58.75
2025-06-10,L269847,A 類,不合格,OP-121,,品保,捷欣,36,64.54
2025-07-06,L264881,B 類,合格,OP-116,已回報,品保,順發,196,3.72
2025-07-18,L262798,A 類,待處理,OP-105,待確認,資材,捷欣,28,39.86
2025-07-27,L261410,其他,待處理,OP-107,待確認,資材,永利,239,95.54
2025-07-02,L269222,C 類,待處理,OP-136,,研發,永利,102,42.45
2025-07-26,L265073,C 類,不合格,OP-145,已回報,品保,力鋼,228,49.03
2025-07-11,L261511,其他,待處理,OP-107,,資材,順發,128,44.93
2025-06-20,L266791,C 類,待處理,OP-148,已回報,資材,大宏,71,37.62
2025-07-08,L264359,其他,待處理,OP-130,,營運,大宏,95,83.87
2025-07-03,L269524,A 類,待處理,OP-122,,研發,永利,93,90.58
2025-07-16,L260264,A 類,已結案,OP-141,,品保,順發,203,36.56
2025-07-04,L263916,B 類,不合格,OP-110,已回報,品保,順發,115,57.3
2025-06-02,L265768,C 類,已結案,OP-107,,研發,力鋼,199,31.16
2025-07-24,L260738,A 類,已結案,OP-124,已回報,資材,力鋼,65,42.71
2025-07-27,L265343,B 類,已結案,OP-114,已回報,營運,永利,163,70.5
2025-07-14,L264474,B 類,合格,OP-129,,製造,大宏,111,42.35
2025-06-06,L260074,其他,待處理,OP-128,已回報,營運,力鋼,212,79.12
2025-07-02,L263811,C 類,不合格,OP-120,,營運,東昇,55,86.93
2025-06-11,L266996,B 類,已結案,OP-146,,營運,捷欣,84,75.6
2025-07-22,L263413,其他,待處理,OP-115,待確認,品保,捷欣,2,32.05
2025-07-09,L265089,B 類,合格,OP-127,已回報,製造,永利,70,86.01
2025-06-29,L268796,B 類,已結案,OP-140,,製造,力鋼,22,54.16
2025-07-25,L261265,A 類,不合格,OP-122,,營運,大宏,157,50.17
2025-06-19,L269022,其他,合格,OP-122,待確認,資材,永利,59,28.46
2025-07-12,L266751,C 類,已結案,OP-137,待確認,品保,力鋼,69,78.26
2025-06-19,L262742,B 類,不合格,OP-114,,資材,捷欣,25,58.82
